task_name	task_prefix	prompt	prompt_len
glue-mrpc	glue-mrpc_16_87	"Do the following two sentences mean the same thing?
sentence1: For proof , look no further than this week 's Consumer Electronics Show ( CES ) in Las Vegas . sentence2: The company is expected to unveil the console on Thursday at the Consumer Electronics Show ( CES ) in Las Vegas . answer: no
sentence1: "" We are pleased with the judge 's decision and pleased that they accepted our arguments , "" a Merrill spokesman said Tuesday . sentence2: "" We 're pleased with the judge 's decision , "" said Mark Herr , spokesman for Merrill Lynch . answer: no
sentence1: "" They are trying to turn him into a martyr , "" said Vicki Saporta , president of the National Abortion Federation , which tracks abortion-related violence . sentence2: "" We need to take these threats seriously , "" said Vicki Saporta , president of the National Abortion Federation . answer: no
sentence1: The latest outbreak seems to have begun with one of the female patients , a transfer from Jen Chi Hospital in Taipei . sentence2: The outbreak seems to have begun with one of the roommates , a transfer from Taipei 's Jen Chi Hospital . answer: yes
sentence1: Treasury prices rose slightly , sending the 10-year note yield down to 4.38 percent from 4.39 percent late Friday . sentence2: Treasury prices gained for the third day in a row , pushing the 10-year note yield down to 4.35 percent from 4.36 percent late Monday . answer: yes
sentence1: United said the new airline will expand next year to 40 Airbus A320 jets , each seating 156 passengers . sentence2: United said it the new airline use 40 jets , each seating 156 passengers . answer: yes
sentence1: The yield on the 3 percent note maturing in 2008 fell 22 basis points to 2.61 percent . sentence2: The yield fell 2 basis points to 1.41 percent , after reaching 1.4 percent on May 8 , the lowest since March 12 . answer: no
sentence1: Bad publicity has already weakened sales which are highly profitable for retailers . sentence2: Bad publicity surrounding warranties has already sent sales into decline . answer: no
"	503
tweet_eval-stance_hillary	tweet_eval-stance_hillary_16_100	"Is this tweet neutral, in favor of, or against Hillary?
tweet: @user @user   Support encourage #HillaryClinton president #UnitedStates world is success of women in  world #SemST answer: in favor of
tweet: As much as @user poll numbers have jumped I still have Hillary winning the Dem. nomination. #SemST answer: in favor of
tweet: This Friday is, officially, Political Incorrectness day! All day say whatever you want and offend everyone! Yay! #tcot #2A #PC  #SemST answer: neutral
tweet: Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus #SemST answer: in favor of
tweet: @user Thanks for the follow! #TheHRCSuperVols for #SemST answer: neutral
tweet: Didn't realize Bob Dole was mentioned in Tupac's ""How do u want it"" #YesterdaysLeaders #SemST answer: neutral
tweet: As late as 2013 #HillaryClinton opposed marriage equality. #SemST answer: against
tweet: @user @user The whole #world is supporting you. #SemST answer: in favor of
"	298
tweet_eval-stance_hillary	tweet_eval-stance_hillary_16_13	"Is this tweet neutral, in favor of, or against Hillary?
tweet: @user . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary answer: against
tweet: @user tolerance at its best! Do as I say not as I do #SemST answer: neutral
tweet: Today's number is 8! That's how many years old Jesus was when he learned to ride a bike!  Pretty cool dude! #USWNT #proudmom #SemST answer: against
tweet: @user @user I'm down to help for 2016 election. #SemST answer: in favor of
tweet: #SOCIALMEDIA is NOT for #sociopaths & #psychopaths. If you insult people u don't know, you are the above. Resign. #feelthebern #SemST answer: neutral
tweet: This is not her first time at the rodeo!  @user doesn't care who likes her or not This woman is on a mission #Tough #SemST answer: in favor of
tweet: @user @user how many men are getting their dicks sucked daily in congress, etc and no one gives a shit... #SemST answer: neutral
tweet: @user like I tweeted you way back when, #ACA software can be fixed , but GOP strategic mistake of 'repeal' can't be fixed #SemST answer: against
"	338
tweet_eval-stance_hillary	tweet_eval-stance_hillary_16_21	"Is this tweet neutral, in favor of, or against Hillary?
tweet: If you need me I'll be screaming like a little baby from now until about ten minutes after @user arrives in #PTown. #SemST answer: against
tweet: Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high. #SemST answer: neutral
tweet: @user @user stand on the right side #SemST answer: in favor of
tweet: Bill Clinton just wants to be the first dude to be President and bang one. #SemST answer: neutral
tweet: Today LOVE won and Hate was defeated. #MorningJoe #UnitedBlue #SemST answer: neutral
tweet: Too far @user That's just too fucking far. #BaltimoreUprising #Obama #SemST answer: neutral
tweet: So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers #SemST answer: in favor of
tweet: @user I would have to agree, but I would be surprised if he gets the nom. Jeb bush has the money, and he's a moderate. #SemST answer: neutral
"	303
tweet_eval-stance_hillary	tweet_eval-stance_hillary_16_42	"Is this tweet neutral, in favor of, or against Hillary?
tweet: A Black President,Healthcare 4 all, Marriage Equality...what's next?..a Woman President?!Damn RIGHT! #SCOTUS #MarriageEquality #SemST answer: in favor of
tweet: #Obama is riding high!! #ObamaCare #LoveWins #Republicans tearing out their hair, whatever is left of it ..Next is #SCOTUS #SemST answer: neutral
tweet: I don't want to be appointed to an Ambassador post. answer: neutral
tweet: Fantastic Emmet County Dem meeting tonight in Estherville. Glad to meet some @user supporters! #SemST answer: in favor of
tweet: Getting another @user bumper sticker because #LoveWins and 2 just wasn't enough #SemST answer: in favor of
tweet: Thanks @user for amazing noms for canvassing #FITN #SemST answer: in favor of
tweet: @user @user @user  Thank you so much for FAVs and RTs!!! #WakeUpAmerica #SemST answer: neutral
tweet: A proper introduction of Hillary Clinton should begin with five words: Will the defendant please rise #WhyImNotVotingForHillary #SemST answer: against
"	302
tweet_eval-stance_hillary	tweet_eval-stance_hillary_16_87	"Is this tweet neutral, in favor of, or against Hillary?
tweet: @user WE HAVE A TROLL ! #morningjoe #unitedblue #SemST answer: neutral
tweet: @user Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP #SemST answer: against
tweet: @user @user @user The people came to see & hear Hillary not the Press obstructing their view #SemST answer: against
tweet: Saw a bit of @user 's speech & I was proud to hear her plans for policy improvements in our justice system. Thanks! #SemST answer: in favor of
tweet: @user @user It should be illegal for an employer to discriminate against their workers. #EqualityForAll #SemST answer: in favor of
tweet: Didn't think about that. Don't think I'd ever vote for someone with dual citizenship. Can't believe it's legal. #Bernie #SemST answer: neutral
tweet: Fashion News: Hillary has a new clothing line coming out called Flip Flops R US   #tcot #Benghazi #SemST answer: against
tweet: 2016 is going to be a great year. Rush Limbaugh's contract is over and he will be dropped by so many. Liberal victory #stoprush #SemST answer: neutral
"	337
tweet_eval-offensive	tweet_eval-offensive_16_100	"Is this tweet offensive?
tweet: @user Holy shit you met Michael Jordan answer: yes
tweet: @user That shit got me dead!! Eager ass boi! answer: yes
tweet: @user @user was supposed to be Monday answer: no
tweet: @user @user @user @user @user @user @user @user @user @user I dont think so..it would mean he is in trouble.  Dont wish that on anyone.  Isn't that where the Cumm Inn is at? answer: yes
tweet: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Ya too bad the democrats had to bring back nazi tactics and nazi brown shirts in the form on antifa answer: yes
tweet: @user Holy shit. You better not be drinking milk after eating that. Or else...  answer: yes
tweet: @user I see his tweet. But it's just another garbage tweet from the liberals. Contributed nothing except to add more confirmation that the liberals are out of talking points &amp; aren't to be believed. answer: yes
tweet: @user @user Sleazy and greasy!!! answer: yes
"	290
tweet_eval-offensive	tweet_eval-offensive_16_13	"Is this tweet offensive?
tweet: @user But mostly just Antifa getting killed. answer: no
tweet: @user Fuck you dope.  Not a Fox watcher.  Independent voter that will never vote left.  Your Party is dangerous. answer: yes
tweet: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user So you joined up with antifa? Because they more align with your values? answer: no
tweet: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user I just blocked 3 asses. answer: yes
tweet: @user One could say that she is the one coward. She could probably end this charade but continues to sabotage our country with her silence. Plus she's a sad over facelifted former soft porn model. answer: yes
tweet: @user She is an absolutely beautiful gorgeous woman Inside and Out answer: no
tweet: @user Common sense can't be bought or taught....you either have it or you don't. answer: no
tweet: @user @user @user She is a role model Adam you are not! answer: no
"	325
tweet_eval-offensive	tweet_eval-offensive_16_21	"Is this tweet offensive?
tweet: @user Legit got the saying written down. But you are right. answer: no
tweet: @user One could say that she is the one coward. She could probably end this charade but continues to sabotage our country with her silence. Plus she's a sad over facelifted former soft porn model. answer: yes
tweet: @user @user @user So what if she is! answer: no
tweet: @user Brave enough to say it?! Your late to the party fat boy. Ppl been calling POTUS a nazi for a while now. Smh answer: no
tweet: @user BITCH answer: yes
tweet: @user This is a premeditated attack by Democratic liberals and she is being rehearsed. Enough of the scam show. Vote Kavanaugh to SC. answer: yes
tweet: @user @user Donald trump said Mr Cruz is a lying dog you can't trust him or his wife said his father was involved with shooting president the president in Texas in Dallas America can't trust him he is a lier then how can he stand up for him down there in Texas campaing answer: yes
tweet: @user Good Evening. Can you tell us your location and which direction you are traveling so we may investigate? ^Z answer: no
"	305
tweet_eval-offensive	tweet_eval-offensive_16_42	"Is this tweet offensive?
tweet: @user REST IN PUSSY answer: yes
tweet: @user @user @user Why did the democrats have to jam far left liberal judges down conservatives throat? Every liberal judge should be investigated all the way back to grade school. The only lowlife here is you. answer: yes
tweet: @user She is such a beautiful soul. My heart aches for the loss of her babies- but am so happy for her and her rainbow baby.  answer: no
tweet: @user @user Anyone who supports gun control is a racist.  Just like Shannon Twatts answer: yes
tweet: @user @user Oh shit u went there  answer: yes
tweet: @user Gun control . . . means being to hit what your aiming at! These elderly homeowner have great gun control! answer: yes
tweet: @user @user Geez  I hope British Labour is better than Australian Labor  Can't see daylight between them &amp; the Conservatives  Neoliberal to a tee (they say they aren't)  We'll see which way they go in December . . Popularist at every turn - self interest! answer: no
tweet: @user CONway say it louder for your fellow #MAGA Trumpkins because they are the horrible peiple insulting her! answer: yes
"	294
tweet_eval-offensive	tweet_eval-offensive_16_87	"Is this tweet offensive?
tweet: @user I just read that whole thread and that guys thinks he is a boxing media social media sure have mess up some ppls  head  answer: yes
tweet: @user The touch makes him stiffen, hips pressing into that touch... I'm not a fair maiden to win and carry home, Barnes. I /bite/."""" And yet, he is merely holding on, no longer unaccustomed to such man handling..."""" answer: no
tweet: @user @user @user Am I a professional?  No so your statement is irrelevant.  It's not like hardy has done basically identical falls a million times or anything.  You clearly know nothing about this.  50 bucks says he is perfectly fine.  Orton wouldn't have said what he said if he was hurt. answer: no
tweet: @user Cool!   And that's the way it SHOULD be!!!! answer: no
tweet: @user Eric who? Never heard of him. Must work for CNN answer: no
tweet: @user @user @user @user Oh, it's not like when I'm talking about say Antifa violence no one ever says to me but what about Charlottesville?"""" even though I'm talking about Antifa and not Neo-Nazis."""" answer: no
tweet: @user i'm in hetero with you answer: no
tweet: @user And they should face consequences. answer: yes
"	320
emotion	emotion_16_100	"What is the emotion expressed in this message?
message: i dont think he is being honest with me about a lot of things i could be wrong here but i keep feeling skeptical about certain things after everytime i hang out with him emotion: fear
message: i wanted to feel like i could depend on you and put in ur care and dare i say tender hands some of the things i hold dear u like a winter never seen in these lands became so cold emotion: love
message: i realise that although i originally started this blog for a specific purpose it has really grown beyond that and i shouldnt feel pressured to writing about specific things emotion: fear
message: i started feeling dazed emotion: surprise
message: i have a feeling that even if this was the only line up there jesse might make the hike all over again just to finish this amazing project emotion: surprise
message: i feel desperately unhappy if this is me missing richard then i can t handle it it s too much i ve had enough of it i m a mess i know it s not me i still feel like myself emotion: sadness
message: i look forward to continuing this challenge and feel so appreciative for the boost to get my nutrition on a healthy track especially for my pregnancy the most important time in my life to be eating healthy emotion: joy
message: i always feel overwhelmed with a mixture of feelings while listening to these songs emotion: surprise
"	328
emotion	emotion_16_13	"What is the emotion expressed in this message?
message: i feel satisfied with the manner in which i have settled in to my new school and feel that i a now in a position to slowly weave my magic emotion: joy
message: i just saw a post on one girls facebook page that said something to this effect im feelin horny emotion: love
message: i winced and said that does not feel funny emotion: surprise
message: i remember feeling hair and being confused my kids dont have hair at birth but not having the presence of mind to really process what i was feeling emotion: fear
message: i feel glad for you emotion: joy
message: i am just feeling shitty right now emotion: sadness
message: im still feeling the effects today in that my body isnt particularly impressed by me at the moment and it feels a but stressed out trying to sort itself out emotion: surprise
message: i feel that cold breeze emotion: anger
"	205
emotion	emotion_16_21	"What is the emotion expressed in this message?
message: i have always prayed and hoped for the universality of a single faith and a complete unconditional and voluntary feeling of brotherhood among mankind a host of beloved children of one and only heavenly father emotion: love
message: i know that i shouldn t let people decide my happiness but damn it feels like i either have to risk my happiness to please other people that s how much i hate this school this school is fucking pathetic and doesn t deserve my time and money emotion: sadness
message: i feel stressed i tend to scrapbook and make cards emotion: anger
message: i feel frightened i hear a mighty roar emotion: fear
message: i should be sad about all these things upset feeling ungrateful emotion: sadness
message: i just feel terrified like im on the edge of a precipice staring ahead emotion: fear
message: i feel isolated because im not much for driving on bad roads emotion: sadness
message: im not dressed up and im already feeling sort of bah humbug today but i am really annoyed at a type today emotion: anger
"	256
emotion	emotion_16_42	"What is the emotion expressed in this message?
message: i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a emotion: anger
message: im frightened and feeling paranoid emotion: fear
message: i pray that each of you who is hurting or feeling afraid tonight finds peace and soon emotion: fear
message: i feel accepted for who i am emotion: love
message: i drove to class i was feeling a little apprehensive but still no sweat emotion: fear
message: im feeling extraordinarily dazed and bewildered this arvo for no particular reason and my muscles all hurt even though i dont actually have any emotion: surprise
message: i can feel my blood start to boil my hands start to twitch and i suddenly get really hot emotion: love
message: im a creature of habit and major life changes always leave me feeling sort of dazed confused and occasionally sad and grumpy emotion: surprise
"	241
emotion	emotion_16_87	"What is the emotion expressed in this message?
message: i could feel the aching starting earlier in the day emotion: sadness
message: i feel there is going to be a sequel and i would have liked to have had the closure of this book ending emotion: love
message: i feel like i am one of the most confident people around but maybe my confidence in certain things is not the same confidence i have in myself as a human being emotion: joy
message: i feel dirty for loving comments emotion: sadness
message: i feel like thats what vicious circle is emotion: anger
message: ive been feeling a bit nostalgic ever since i went through a box of my dads old pictures for a post i did for a href http mysalvagedtreasures emotion: love
message: i cant help feeling a strange variety of relief for that emotion: surprise
message: i feel blessed to have had years with him and i am thankful for all i learned from him emotion: joy
"	222
hatexplain	hatexplain_16_100	"Is this message a hate speech, offensive, or normal?
message: bernie has his fucking issues i do not trust anything warren says beto is a fucking failure already why is he running kamala is a cop buttigieg is a rich white gay i do not trust a single one abolish the presidency answer: normal
message: the new white bitch from mario kart is op answer: offensive
message: why can not it be neighborhood or local friends with these people it always has to be our community the word shares a root with communism and that no accident ellen i am not part of your dyke community answer: normal
message: nick fuentes is a filthy spic answer: hate speech
message: macro the left gets bullied by blacks muslimes and victim groups the right does not get bullied the left as a reaction <number> themselves being bullied pretend they r freedom fighters side with those bullying them and attack conservatives who defend themselves while accusing them of being bullies answer: hate speech
message: happy birthday rin my funky little lesbian answer: normal
message: <user> i am clearly a fucking retard answer: offensive
message: omg u guys check out tmz madonna just bought <number> new little niggers an theyr blacker than an ink stain at night    thhe niglets look like shaved retarded baby monkeys    im laughing so hard im gonna pee    answer: hate speech
"	358
hatexplain	hatexplain_16_13	"Is this message a hate speech, offensive, or normal?
message: <user> marry my cousin she also needs citizenship two undocumented immigrants equal a citizen it is basic math answer: normal
message: fuck you are a faggot lol that really the best you got answer: hate speech
message: <user> let us not forget that pakistan is a islamist sharia country that supports terrorist groups around the world so they do in india in fact if muslim invaders would not have raped india that shitty nuke state would not even exist answer: hate speech
message: islam isis finally admits its leader abu bakr al baghdadi is dead think this is about 1 0 0 th time this islam terrorist leader has been confirmed dead rem mussie ohell creator of isis let him out of gitmo to become isis leader used asswipe yes both of them <user> <user> answer: hate speech
message: <user> speaking of i am planning on drawing a poc angel and white devil artwork soon  answer: normal
message: <user> did she show solidarity with the white farmers who are being brutally raped and murdered en masse answer: normal
message: breathes in nigger nigger nigger nigger nigger answer: hate speech
message: nancy pelosi invited illegal aliens to the state of the union president trump invited victims of illegal aliens to the state of the union answer: normal
"	354
hatexplain	hatexplain_16_21	"Is this message a hate speech, offensive, or normal?
message: bullshit it amazes me how far kike shills will go to defend that trash answer: hate speech
message: so the narrative is kids turn nazi while reading the internet it can not possibly be they got mobbed by a gang of youths while at work they can not possibly have experienced communism first hand they can not have watched their hometown go from <number> white to 3 rd world shithole answer: hate speech
message: can someone give me a legit amazon link in uk for dear my dear <sad> <user> i hate you <sad> why could not you have just dropped the links you really this petty  <user> answer: normal
message: <user> it is very fair established accustaion kashmiri muslims has forced to vacate pandits masaacred pandits raped their girls nd women kashmiri muslims r sole culprit of this answer: normal
message: u r such a fuckin hoe i love it u r such a fuckin hoe i love it u r such a fuckin hoe i love it ur boyfriend a dork mclovin answer: normal
message: go back to your vox cave you gigantic faggot answer: hate speech
message: iq so low they are on the retarded scale zero impulse control maybe it time to actually iq test for the basic level of rational thought before you give them guns answer: offensive
message: i am not homophobic faggot answer: offensive
"	393
hatexplain	hatexplain_16_42	"Is this message a hate speech, offensive, or normal?
message: it pretty much going that way here in america also only a matter of time before our women are raped and slaughtered in the name of islam answer: hate speech
message: i agree with you some tsa agents are moslem and look more suspicious than the people they are groping israeli security profile arabs to the nth degree answer: offensive
message: atlanta and the gsu campus smells like feces at all times i fucking hate this city answer: offensive
message: here your options <number> chase down and handcuff some gross naked nigger and put it in your car <number> shoot that spook and let the meat wagon clean it up hmm choices answer: hate speech
message: also benefits outed taxpayers money being spent on these inbreed moslem shite depleting monies available for nationals of this country and every country they inbreed in answer: hate speech
message: not a grammar nazi but answer: normal
message: unapologetically american i like legal immigrants who come here to be american and make a better life for themselves and their children the illegals can fuck off answer: offensive
message: my friend saying that suicide squad is better than avengers and i was like bitch say it again i triple dare you answer: normal
"	330
hatexplain	hatexplain_16_87	"Is this message a hate speech, offensive, or normal?
message: <user> again get ur hair sorted u melt and go golf with ur dad u freaky retard answer: offensive
message: gold poppin bugatti brown gangsta shit this nigger answer: normal
message: <user> all homosexuals and transsexuals are narcissists answer: offensive
message: sees white decline what have i done answer: normal
message: <user> you mean immigrants ex pats is a term used by white people for white people colonialists answer: normal
message: to the white bitch that would not let me go in front of her and started to speed up as soon as she seen my blinker you moms a hoe ps fuck you answer: offensive
message: it is a fictional story about a mudshark vanessa her absent black husband obi o konkwo and her rogue piccaninny child jiglet it is based on real life events and characters written in the style of the janet and john books of the 6 0 answer: hate speech
message: i have no doubt that some stupid judge in hawaii or california will try to block presidenttrump reasonable request for more extreme vetting of immigrants from terrorist countries answer: normal
"	308
glue-cola	glue-cola_16_100	"Does the following sentence make sense and use correct English?
sentence: The lake was camped beside by my sister. answer: no
sentence: What did Bill cook and wash the dishes? answer: no
sentence: The gun and a description of itself lay on the bureau. answer: no
sentence: The men would have all been working. answer: yes
sentence: I cut the soft bread. answer: yes
sentence: John promised us to be gentle. answer: yes
sentence: I sent money. answer: yes
sentence: A crowd of people remained in the square. answer: yes
"	119
glue-cola	glue-cola_16_13	"Does the following sentence make sense and use correct English?
sentence: Handsome though they told me that Tom is, I still won't date him. answer: no
sentence: What place did you travel to? answer: yes
sentence: The election results surprised everybody. answer: yes
sentence: I saw the brilliant student. answer: yes
sentence: Cornelia lodged at Mrs. Parker's. answer: yes
sentence: She made such a better reply. answer: no
sentence: One of the problems was the robins. answer: yes
sentence: What she did was own all the land round here. answer: no
"	130
glue-cola	glue-cola_16_21	"Does the following sentence make sense and use correct English?
sentence: The pasture is herding with cattle. answer: no
sentence: The more he eats, the fatter that that he gets really bothers me. answer: no
sentence: I showed Mary several portraits of herself. answer: yes
sentence: I prefer for the girl to put a picture there. answer: yes
sentence: Sally eats the stuff more. answer: yes
sentence: John talked to absolutely any woman who came up to him. answer: yes
sentence: Ethel was sitting at her desk. answer: yes
sentence: Felicia sent the box off the shelf. answer: no
"	142
glue-cola	glue-cola_16_42	"Does the following sentence make sense and use correct English?
sentence: the room contains few furniture. answer: no
sentence: What did you put in your box? answer: yes
sentence: So much did you eat that everyone gasped. answer: yes
sentence: Which picture is Ann going to send to her teacher of Chairman Mao as soon as she gets home? answer: no
sentence: John suddenly got the bus off. answer: no
sentence: The bed was slept in by the Shah. answer: yes
sentence: It was in 1997 when the IN introduced the alien registration receipt card. answer: yes
sentence: A motorist has reported the road is blocked at Bunker Hill. answer: yes
"	142
glue-cola	glue-cola_16_87	"Does the following sentence make sense and use correct English?
sentence: It was several young students in that the policeman met the park last night. answer: no
sentence: I ordered John drink his beer. answer: yes
sentence: Catherine did not eat. answer: yes
sentence: Your books were gone most thoroughly over. answer: no
sentence: Mickey pointed that Gary had left out. answer: no
sentence: John not liked Mary. answer: no
sentence: Robin is nothing in the box. answer: no
sentence: Believing that the world is flat gives one some solace. answer: yes
"	123
sick	sick_16_100	"Does sentence 1 entail, contradict, or is neutral with respect to sentence 2?
sentence1: A white dog is standing in a lake sentence2: A brown dog is standing in a lake answer: neutral
sentence1: A boy is checking a calendar sentence2: There is no boy checking a calendar answer: contradiction
sentence1: A black and white dog is playing with a frisbee in a brown field sentence2: A black and white dog is playing with a broken volleyball answer: neutral
sentence1: A black dog in the snow is jumping off the ground and catching a stick sentence2: There is no dog jumping for a Frisbee in the snow answer: neutral
sentence1: A man is playing guitar sentence2: There is no man playing a guitar answer: contradiction
sentence1: The small child is wading through the water and is being guided by another person sentence2: A young child is splashing in the water answer: neutral
sentence1: A cyclist is biking in a snowy forest at day sentence2: A cyclist is biking in a snowy forest at night answer: contradiction
sentence1: The lion is pacing tiredly in the pen sentence2: A lion is slowly walking answer: entailment
"	271
sick	sick_16_13	"Does sentence 1 entail, contradict, or is neutral with respect to sentence 2?
sentence1: A black bird is taking flight from a dead tree sentence2: The black bird is sitting in a leafless tree answer: contradiction
sentence1: An oriental man and two women are facing a camera sentence2: There is no group of people standing together and looking at the camera answer: contradiction
sentence1: The kittens are eating the food on the trays sentence2: Some kittens are eating answer: entailment
sentence1: Two women dressed in white and black are sitting on a bench sentence2: Two people are sitting on a park bench on a rainy day answer: neutral
sentence1: A machine is sharpening a pencil sentence2: A pencil is being sharpened answer: entailment
sentence1: A dog is fetching a stick out of very clear water sentence2: A small black and white dog is biting a stick and is swimming answer: neutral
sentence1: A girl in white is dancing sentence2: The dancer is dancing in front of the sound equipment answer: neutral
sentence1: A lemon is being squeezed by a woman sentence2: A woman is squeezing a lemon answer: entailment
"	271
sick	sick_16_21	"Does sentence 1 entail, contradict, or is neutral with respect to sentence 2?
sentence1: The men are not talking sentence2: The men are talking answer: contradiction
sentence1: A shirtless man is playing football on a field sentence2: A man with no shirt is holding a football answer: neutral
sentence1: A girl is doing a manicure sentence2: A girl is styling her hair answer: neutral
sentence1: A man is slicing a potato sentence2: There is no man slicing a potato answer: contradiction
sentence1: There is no man eating some food sentence2: A man is eating some food answer: contradiction
sentence1: A man is removing some food from a box sentence2: The man is putting chicken into the container answer: contradiction
sentence1: There is no child playing with a water spout outdoors with the rest of his family watching sentence2: A child is playing with a water spout outdoors and the rest of his family is watching answer: contradiction
sentence1: The woman is stirring meat in a bowl sentence2: A lady is mixing a mixture of meat in a bowl answer: entailment
"	255
sick	sick_16_42	"Does sentence 1 entail, contradict, or is neutral with respect to sentence 2?
sentence1: A man is slicing a potato sentence2: There is no man slicing a potato answer: contradiction
sentence1: Two dogs of different breeds are looking at each other across a street sentence2: There are no dogs of different breeds looking at each other across a street answer: contradiction
sentence1: A man is playing the guitar sentence2: Nobody is playing the guitar answer: contradiction
sentence1: The woman is not dicing garlic sentence2: The woman is dicing garlic answer: contradiction
sentence1: The man is cutting the tape on the box sentence2: There is no man cutting a box answer: neutral
sentence1: Children are playing in a fountain that is spraying water from the ground sentence2: Animals are playing in fountains that spray water from the ground answer: neutral
sentence1: A boy wearing a striped shirt is running barefoot on the sandy hill sentence2: A girl wearing a striped shirt is running barefoot on the sandy hill answer: neutral
sentence1: There is no monkey teasing a dog at the zoo sentence2: A monkey is pulling a dog's tail answer: contradiction
"	274
sick	sick_16_87	"Does sentence 1 entail, contradict, or is neutral with respect to sentence 2?
sentence1: A fish is being sliced by a man sentence2: A cat is jumping into a box answer: neutral
sentence1: The man is funnily playing the piano with his nose sentence2: The man is playing the piano with his nose answer: entailment
sentence1: Some fish are swimming sentence2: The fish are immobile answer: neutral
sentence1: A woman is slicing an onion sentence2: An onion is being sliced by a woman answer: entailment
sentence1: Two children are not playing in the surf sentence2: Two children are playing in the surf answer: contradiction
sentence1: The girl in the blue and white uniform isn't cheering sentence2: The girl in the blue and white uniform is cheering answer: contradiction
sentence1: A man is rock climbing, stopping and calculating the route sentence2: A man is rock climbing and a city and a bay are in the background answer: neutral
sentence1: A dog is looking around sentence2: There is no dog looking around answer: contradiction
"	244
paws	paws_16_100	"Do Sentence 1 and Sentence 2 express the same meaning? Yes or No?
sentence1: Crawley Green is part of the Crawley ward which is represented by Cllr James Taylor ( Labour ) and Cllr Terry Keens ( Liberal Democrats ) sentence2: Crawley Green is part of Crawley Station , which is represented by Cllr Terry Keens ( Labour ) and Cllr James Taylor ( Liberal Democrats ) . answer: 0
sentence1: He then battled mechanic `` Gears '' Garvin and then met Baron Brimstone . sentence2: Then he fought mechanic `` Gears '' Garvin and then met Baron Brimstone . answer: 1
sentence1: The new algorithm , however , would divide the original interval into a larger and a smaller subinterval in Step 4 . sentence2: However , the new algorithm would divide the original interval in step 4 into a larger and a smaller partial interval . answer: 1
sentence1: In January 2000 , Alta Residential Mortgage Trust announced the forthcoming acquisition of the Los Angeles-based Washington Mutual for $ 23 million . sentence2: In January 2000 , Alta Residential Mortgage Trust announced the pending acquisition of the Los Angeles-based Washington Mutual for $ 23 million . answer: 1
sentence1: From 1999 to 2006 he was a popular sportscaster for national radio sports on CBC Radio , and anchored the radio coverage for four Olympic Games . sentence2: From 1999 to 2006 he was a national athlete for popular radio sports at CBC Radio and anchored the radio coverage for four Olympic Games . answer: 0
sentence1: The couple had their first child , Nicol , in August 2012 , and their second son Schalk Jr. was born in March 2014 . sentence2: The couple got their first child , Nicol , in August 2012 , and in March 2014 their second son , Shalk Jr. , was born . answer: 1
sentence1: The title song `` Hain Yeh Silsilay '' by Tanhaiyan Naye Silsilay is sung by Zoe Viccaji , composed by Shani Haider and the lyrics of Shahi Hasan . sentence2: The title song `` Hain Yeh Silsilay '' from Tanhaiyan Naye Silsilay is composed by Zoe Viccaji , sung by Shahi Hasan and by Shani Haider . answer: 0
sentence1: His parents are Angelina Miers , a prominent artist himself , and Don Luis Toranzos , of Argentina . sentence2: His parents are Angelina Miers , himself a prominent artist , and Don Luis Toranzos from Argentina . answer: 1
"	644
